Country,Official Name,Region,Subregion,Capital,Population,Area (km²),Currencies,Languages,Timezones,Independent
French Polynesia,French Polynesia,Oceania,Polynesia,Papeetē,279500,4167.0,CFP franc (XPF),French,"UTC-10:00, UTC-09:30, UTC-09:00",False
Barbados,Barbados,Americas,Caribbean,Bridgetown,267800,430.0,Barbadian dollar (BBD),English,UTC-04:00,True
New Caledonia,New Caledonia,Oceania,Melanesia,Nouméa,264596,18575.0,CFP franc (XPF),French,UTC+11:00,False
São Tomé and Príncipe,Democratic Republic of São Tomé and Príncipe,Africa,Middle Africa,São Tomé,209607,964.0,São Tomé and Príncipe dobra (STN),Portuguese,UTC,True
Samoa,Independent State of Samoa,Oceania,Polynesia,Apia,205557,2842.0,Samoan tālā (WST),"English, Samoan",UTC+13:00,True
Saint Lucia,Saint Lucia,Americas,Caribbean,Castries,184100,616.0,Eastern Caribbean dollar (XCD),English,UTC-04:00,True
Curaçao,Country of Curaçao,Americas,Caribbean,Willemstad,156115,444.0,Netherlands Antillean guilder (ANG),"Dutch, English, Papiamento",UTC-04:00,False
Guam,Guam,Oceania,Micronesia,Hagåtña,153836,549.0,United States dollar (USD),"Chamorro, English, Spanish",UTC+10:00,False
Seychelles,Republic of Seychelles,Africa,Eastern Africa,Victoria,122729,452.0,Seychellois rupee (SCR),"English, French, Seychellois Creole",UTC+04:00,True
Kiribati,Independent and Sovereign Republic of Kiribati,Oceania,Micronesia,South Tarawa,120740,811.0,"Australian dollar (AUD), Kiribati dollar (KID)","English, Gilbertese","UTC+12:00, UTC+13:00, UTC+14:00",True
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Americas,Caribbean,Kingstown,110872,389.0,Eastern Caribbean dollar (XCD),English,UTC-04:00,True
Grenada,Grenada,Americas,Caribbean,St. George's,109021,344.0,Eastern Caribbean dollar (XCD),English,UTC-04:00,True
Aruba,Aruba,Americas,Caribbean,Oranjestad,107566,180.0,Aruban florin (AWG),"Dutch, Papiamento",UTC-04:00,False
Micronesia,Federated States of Micronesia,Oceania,Micronesia,Palikir,105564,702.0,United States dollar (USD),English,"UTC+10:00, UTC+11:00",True
Antigua and Barbuda,Antigua and Barbuda,Americas,Caribbean,Saint John's,103603,442.0,Eastern Caribbean dollar (XCD),English,UTC-04:00,True
Jersey,Bailiwick of Jersey,Europe,Northern Europe,Saint Helier,103267,116.0,"British pound (GBP), Jersey pound (JEP)","English, French, Jèrriais",UTC+01:00,False
Tonga,Kingdom of Tonga,Oceania,Polynesia,Nuku'alofa,100179,747.0,Tongan paʻanga (TOP),"English, Tongan",UTC+13:00,True
Andorra,Principality of Andorra,Europe,Southern Europe,Andorra la Vella,88406,468.0,euro (EUR),Catalan,UTC+01:00,True
United States Virgin Islands,Virgin Islands of the United States,Americas,Caribbean,Charlotte Amalie,87146,347.0,United States dollar (USD),English,UTC-04:00,False
Cayman Islands,Cayman Islands,Americas,Caribbean,George Town,84738,264.0,Cayman Islands dollar (KYD),English,UTC-05:00,False
Isle of Man,Isle of Man,Europe,Northern Europe,Douglas,84530,572.0,"British pound (GBP), Manx pound (IMP)","English, Manx",UTC+00:00,False
Dominica,Commonwealth of Dominica,Americas,Caribbean,Roseau,67408,751.0,Eastern Caribbean dollar (XCD),English,UTC-04:00,True
Guernsey,Bailiwick of Guernsey,Europe,Northern Europe,St. Peter Port,64781,78.0,"British pound (GBP), Guernsey pound (GGP)","English, French, Guernésiais",UTC+00:00,False
Bermuda,Bermuda,Americas,North America,Hamilton,64055,54.0,Bermudian dollar (BMD),English,UTC-04:00,False
Greenland,Greenland,Americas,North America,Nuuk,56542,2166086.0,krone (DKK),Greenlandic,"UTC-04:00, UTC-03:00, UTC-01:00, UTC+00:00",False
Faroe Islands,Faroe Islands,Europe,Northern Europe,Tórshavn,54885,1393.0,"Danish krone (DKK), Faroese króna (FOK)","Danish, Faroese",UTC+00:00,False
Saint Kitts and Nevis,Federation of Saint Christopher and Nevis,Americas,Caribbean,Basseterre,51320,261.0,Eastern Caribbean dollar (XCD),English,UTC-04:00,True
Turks and Caicos Islands,Turks and Caicos Islands,Americas,Caribbean,Cockburn Town,50828,948.0,United States dollar (USD),English,UTC-04:00,False
American Samoa,American Samoa,Oceania,Polynesia,Pago Pago,49710,199.0,United States dollar (USD),"English, Samoan",UTC-11:00,False
Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,Oceania,Micronesia,Saipan,47329,464.0,United States dollar (USD),"Carolinian, Chamorro, English",UTC+10:00,False
Marshall Islands,Republic of the Marshall Islands,Oceania,Micronesia,Majuro,42418,181.0,United States dollar (USD),"English, Marshallese",UTC+12:00,True
Sint Maarten,Sint Maarten,Americas,Caribbean,Philipsburg,41349,34.0,Netherlands Antillean guilder (ANG),"Dutch, English, French",UTC-04:00,False
Liechtenstein,Principality of Liechtenstein,Europe,Western Europe,Vaduz,40900,160.0,Swiss franc (CHF),German,UTC+01:00,True
British Virgin Islands,Virgin Islands,Americas,Caribbean,Road Town,39471,151.0,United States dollar (USD),English,UTC-04:00,False
Monaco,Principality of Monaco,Europe,Western Europe,Monaco,38423,2.02,euro (EUR),French,UTC+01:00,True
Gibraltar,Gibraltar,Europe,Southern Europe,Gibraltar,38000,6.0,Gibraltar pound (GIP),English,UTC+01:00,False
San Marino,Republic of San Marino,Europe,Southern Europe,City of San Marino,34132,61.0,euro (EUR),Italian,UTC+01:00,True
Caribbean Netherlands,"Bonaire, Sint Eustatius and Saba",Americas,Caribbean,Kralendijk,31980,328.0,United States dollar (USD),"Dutch, English, Papiamento",UTC-04:00,False
Saint Martin,Saint Martin,Americas,Caribbean,Marigot,31496,53.0,euro (EUR),French,UTC-04:00,False
Åland Islands,Åland Islands,Europe,Northern Europe,Mariehamn,30654,1580.0,euro (EUR),Swedish,UTC+02:00,False
Palau,Republic of Palau,Oceania,Micronesia,Ngerulmud,16733,459.0,United States dollar (USD),"English, Palauan",UTC+09:00,True
Anguilla,Anguilla,Americas,Caribbean,The Valley,16010,91.0,Eastern Caribbean dollar (XCD),English,UTC-04:00,False
Cook Islands,Cook Islands,Oceania,Polynesia,Avarua,15040,236.0,"Cook Islands dollar (CKD), New Zealand dollar (NZD)","Cook Islands Māori, English",UTC-10:00,False
Nauru,Republic of Nauru,Oceania,Micronesia,Yaren,11680,21.0,Australian dollar (AUD),"English, Nauru",UTC+12:00,True
Wallis and Futuna,Territory of the Wallis and Futuna Islands,Oceania,Polynesia,Mata-Utu,11620,142.0,CFP franc (XPF),French,UTC+12:00,False
Tuvalu,Tuvalu,Oceania,Polynesia,Funafuti,10643,26.0,"Australian dollar (AUD), Tuvaluan dollar (TVD)","English, Tuvaluan",UTC+12:00,True
Saint Barthélemy,Collectivity of Saint Barthélemy,Americas,Caribbean,Gustavia,10562,21.0,euro (EUR),French,UTC-04:00,False
Saint Pierre and Miquelon,Saint Pierre and Miquelon,Americas,North America,Saint-Pierre,5819,242.0,euro (EUR),French,UTC-03:00,False
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,Jamestown,5651,394.0,"Pound sterling (GBP), Saint Helena pound (SHP)",English,UTC+00:00,False
Montserrat,Montserrat,Americas,Caribbean,Plymouth,4386,102.0,Eastern Caribbean dollar (XCD),English,UTC-04:00,False
Falkland Islands,Falkland Islands,Americas,South America,Stanley,3662,12173.0,Falkland Islands pound (FKP),English,UTC-04:00,False
Tokelau,Tokelau,Oceania,Polynesia,Fakaofo,2608,12.0,New Zealand dollar (NZD),"English, Samoan, Tokelauan",UTC+13:00,False
Svalbard and Jan Mayen,Svalbard og Jan Mayen,Europe,Northern Europe,Longyearbyen,2530,61399.0,krone (NOK),Norwegian,UTC+01:00,False
Norfolk Island,Territory of Norfolk Island,Oceania,Australia and New Zealand,Kingston,2188,36.0,Australian dollar (AUD),"English, Norfuk",UTC+11:30,False
Christmas Island,Territory of Christmas Island,Oceania,Australia and New Zealand,Flying Fish Cove,1692,135.0,Australian dollar (AUD),English,UTC+07:00,False
Niue,Niue,Oceania,Polynesia,Alofi,1681,260.0,New Zealand dollar (NZD),"English, Niuean",UTC-11:00,False
Vatican City,Vatican City State,Europe,Southern Europe,Vatican City,882,0.49,euro (EUR),"Italian, Latin",UTC+01:00,True
Cocos (Keeling) Islands,Territory of the Cocos (Keeling) Islands,Oceania,Australia and New Zealand,West Island,593,14.0,Australian dollar (AUD),English,UTC+06:30,False
Pitcairn Islands,Pitcairn Group of Islands,Oceania,Polynesia,Adamstown,35,47.0,New Zealand dollar (NZD),English,UTC-08:00,False
British Indian Ocean Territory,British Indian Ocean Territory,Africa,Eastern Africa,Diego Garcia,0,60.0,United States dollar (USD),English,UTC+06:00,False
United States Minor Outlying Islands,United States Minor Outlying Islands,Americas,North America,Washington DC,0,34.2,United States dollar (USD),English,"UTC-11:00, UTC-10:00, UTC+12:00",False
